date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2013-01-15,190.25,199.149994,190.050003,198.0,181.034744,4921498,195.75,6024.049805,1472.339966,13534.889647999998,3110.780029,0.1999969999999962,9.099990999999989,,,,,,,0,0,0,0,0,0,0,0,0.04183115543689908,0.012224220318875378,0.001128669689566708,0.002041066204187425,-0.0021555640737770387,1.0,3.421989652158652,2013-01-15,197.48380575148016,Tuesday,3,190.050003,9.099990999999989,6.289569836167666,43.933065422526894,56.066934577473106,30.22751213666151,30.22751213666151,25.95809956045195,25.95809956045195,38.766337289080624,38.766337289080624,196.4248601689633,197.68668846722196,-1.2618282982586493,-0.8509147019943251,-0.8218271925286484
2013-01-16,197.600006,201.949997,196.0,197.600006,180.66897600000001,3753492,198.86,6056.600098,1472.630005,13511.230469,3117.540039,-0.3999939999999924,5.949996999999996,,,,,,,0,0,0,0,0,0,0,0,-0.002020429846328109,0.005403390419014054,0.00019699186784150058,-0.0017480141778247749,0.0021730916159228286,0.0,-0.37391890825034496,2013-01-16,197.3129365078839,Wednesday,4,198.0,5.949996999999996,6.246058355805169,45.606680905442886,54.96830147187354,38.47444191506551,38.47444191506551,30.130213678656467,30.130213678656467,55.1628983878836,55.1628983878836,196.6337972398829,197.67603816031914,-1.0422409204362282,-0.8920035498038621,-0.30047474126473217
2013-01-17,198.0,201.199997,197.0,199.949997,182.817657,4511317,199.38,6001.850098,1480.939941,13596.019531,3136.0,0.3999939999999924,4.199996999999996,,,,,,,0,0,0,0,0,0,0,0,0.01189291624700406,-0.009039725112126806,0.005642921828147962,0.006275450795879767,0.005921322827956876,1.0,-1.315628085974616,2013-01-17,197.13547039691608,Thursday,2,197.600006,4.199996999999996,5.997953742652767,35.095159009342694,67.6211146635834,48.18999949790481,48.18999949790481,36.150142285072576,36.150142285072576,72.26971392356927,72.26971392356927,197.20961549895375,197.9424320282257,-0.7328165292719575,-0.8583140456181725,0.25099503269242995
2013-01-18,199.949997,200.300003,196.5,198.699997,181.674744,2119837,198.25,6039.200195,1485.97998,13649.700195,3134.709961,0.0,3.800003000000004,,,,,,,0,0,0,0,0,0,0,0,-0.006251655440480786,0.006223097276695899,0.0034032703558501964,0.003948263230837856,-0.0004113644770408209,0.0,-1.0045890595173292,2013-01-18,196.99921469939906,Friday,0,199.949997,3.800003000000004,5.744081785529528,37.88549399367766,66.04214025195606,54.14071308258855,54.14071308258855,42.1469992175779,42.1469992175779,78.12814081260984,78.12814081260984,197.46337988337123,198.02751559015982,-0.5641357067885906,-0.7967717176439328,0.4652720217106845
2013-01-21,198.699997,200.300003,194.5,199.5,182.40618899999998,2301698,197.06,6064.399902,1485.97998,13649.700195,3134.709961,0.0,5.800003000000004,,,,,,,0,0,0,0,0,0,0,0,0.004026123741228238,0.004172689459916112,0.0,0.0,0.0,1.0,0.9648749996624908,2013-01-21,196.63576587922984,Monday,1,198.699997,5.800003000000004,5.750268235749591,30.210771517421247,81.42078563111629,63.234070598764454,63.234070598764454,49.176023011306754,49.176023011306754,91.35016577367986,91.35016577367986,197.80454861862623,198.18680233416632,-0.382253715540088,-0.7108448337684552,0.6571822364567343
2013-01-22,199.25,201.25,196.899994,198.300003,181.30903600000002,1185355,198.95,6082.299805,1492.560059,13712.209961000002,3143.179932,-0.25,4.350006000000008,,,,,,,0,0,0,0,0,0,0,0,-0.006014889111026656,0.00295163631839257,0.004428107436548201,0.004579570621111584,0.002701995114501088,0.0,-2.037815117514986,2013-01-22,196.15363584869596,Tuesday,3,199.5,4.350006000000008,5.601203326770465,25.13657932453285,78.96255969239411,68.476900296641,68.476900296641,55.60964877308483,55.60964877308483,94.21140334375335,94.21140334375335,197.8864263615855,198.1986440537338,-0.31221769214829465,-0.6288103397140805,0.6331852951315717
2013-01-23,198.550003,199.300003,196.600006,197.050003,180.166153,2435921,197.85,6048.5,1494.810059,13779.330078,3153.669922,0.25,2.699996999999996,,,,,,,0,0,0,0,0,0,0,0,-0.006303508226694343,-0.005557076448650888,0.0015074770267586857,0.004894916077780254,0.0033373813230366256,0.0,1.1343209482433283,2013-01-23,195.98685043892968,Wednesday,4,198.300003,2.699996999999996,5.302807172459622,28.242054995878647,71.75794500412135,69.57058186580112,69.57058186580112,60.263293137323586,60.263293137323586,88.18515932275619,88.18515932275619,197.74976040139236,198.08204695584777,-0.33228655445540767,-0.5681393944294659,0.4717056799481165
2013-01-24,197.899994,199.800003,196.350006,197.25,180.34901399999998,1153222,197.5,6054.299805,1494.819946,13825.330078,3130.3798829999996,0.8499909999999886,3.449996999999996,,,,,,,0,0,0,0,0,0,0,0,0.0010149575653091159,0.0009588831941802489,6.614218268419236e-06,0.003338333557553863,-0.007385059177413944,1.0,1.0584788339906248,2013-01-24,195.81545647892563,Thursday,2,197.050003,3.449996999999996,5.1180470020003455,27.08933393683028,72.91066606316971,70.68394326492398,70.68394326492398,63.73684317985705,63.73684317985705,84.57814343505785,84.57814343505785,197.668875130242,197.9998421835513,-0.3309670533093083,-0.5198347470374548,0.377735387456293
2013-01-25,196.199997,200.699997,193.699997,199.149994,182.086197,1134142,196.96,6019.350098,1502.959961,13895.980469,3149.709961,-1.0500030000000038,7.0,,,,,,198.5817074342777,0,0,0,0,0,0,0,0,0.009632339880716101,-0.005772708343768529,0.005445481926958484,0.005110213687586684,0.006174994320969018,1.0,-1.66859978143776,2013-01-25,195.68687076058137,Friday,0,197.25,7.0,5.300550189630312,16.138354192806244,76.4705511616224,72.61281256382345,72.61281256382345,66.69549964117918,66.69549964117918,84.44743840911198,84.44743840911198,197.9066884352529,198.1107334612293,-0.20404502597639862,-0.45575329172681683,0.5034165315008364
2013-01-28,199.550003,200.800003,194.5,197.050003,180.166153,2094102,196.64,6074.649902,1500.180054,13881.929688,3154.300049,0.4000090000000114,6.300003000000004,45.0261748855549,208.679,188.541,198.61000059999998,,198.43583082148933,0,0,0,0,0,0,0,0,-0.010544698234320249,0.009187005756381206,-0.0018496214617390594,-0.001011139950242823,0.0014573049762787171,0.0,-1.1477840020940449,2013-01-28,195.3546681601169,Monday,1,199.149994,6.300003000000004,5.395058167208353,41.17644092929791,40.606133333333425,61.94391948699344,61.94391948699344,65.11163958978393,65.11163958978393,55.60847928141246,55.60847928141246,197.7700540019762,198.0106985163754,-0.2406445143992073,-0.4122297439190513,0.343170459039688
