date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2013-01-01,718.310974,725.6669919999999,718.067017,722.177979,646.2200320000001,1721671,1626.2,5993.25,1462.420044,13412.549805,3112.26001,,7.599974999999972,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0.0,2013-01-01,722.3494319108124,Tuesday,3,,,,45.90821680334342,54.091783196656586,51.363927732218855,51.363927732218855,50.454642577406275,50.454642577406275,53.18249804184401,53.18249804184401,722.177979,722.177979,0.0,0.0,0.0
2013-01-02,728.6220089999999,735.55603,725.132996,733.132996,656.022888,2631400,1647.15,5993.25,1462.420044,13412.549805,3112.26001,6.444029999999884,10.423033999999916,,,,,,,0,0,0,0,0,0,0,0,0.015169532844193645,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-02,719.775448156956,Wednesday,4,722.177979,13.378050999999914,13.378050999999914,13.854606889479218,86.14539311052079,62.95774952498616,62.95774952498616,54.62234489326624,54.62234489326624,79.62855878842602,79.62855878842602,728.1119465416666,727.8661609038462,0.2457856378204042,0.1365475765668912,0.21847612250702597
2013-01-03,735.55603,738.356018,724.44397,727.489014,650.972412,2839403,1643.04,5993.25,1459.369995,13391.360352,3100.570068,2.423033999999916,13.912047999999913,,,,,,,0,0,0,0,0,0,0,0,-0.007698627734464059,0.0,-0.002085617612062718,-0.001579822875446224,-0.0037560942731130753,0.0,0.0,2013-01-03,717.7804253362543,Thursday,2,733.132996,13.912047999999913,13.654938333333249,53.56106000487634,46.43893999512366,57.45147968169866,57.45147968169866,55.56538982274371,55.56538982274371,61.22365939960855,61.22365939960855,727.8688158267898,727.7306556830952,0.13816014369467666,0.13720846473401638,0.0019033579213205698
2013-01-04,724.888977,727.067017,719.510986,723.55603,647.4531860000001,2227388,1627.4,6009.5,1466.469971,13435.209961000002,3101.659912,-2.600037000000043,7.556030999999962,,,,,,,0,0,0,0,0,0,0,0,-0.0054061062114563185,0.0027113836399281777,0.004865096599440566,0.0032744700947020533,0.0003514979426679776,0.0,-1.993855141649937,2013-01-04,716.2116533399708,Friday,0,727.489014,7.978027999999995,11.620798616087697,72.9458685521283,27.054131447871704,47.319030270423006,47.319030270423006,52.816603305303474,52.816603305303474,36.323884200662064,36.323884200662064,726.5074378869252,726.5636127714891,-0.05617488456391584,0.07169920006669518,-0.255748169261222
2013-01-07,725.4219969999999,725.778015,704.44397,705.8439940000001,631.604065,4125614,1600.26,6016.149902,1461.890015,13384.290039,3098.810059,1.865966999999955,21.334044999999946,,,,,,,0,0,0,0,0,0,0,0,-0.024479176784837242,0.0011065649388468657,-0.003123116115959057,-0.0037900354477387044,-0.0009188154345918242,0.0,-22.12177155219342,2013-01-07,708.9951497042078,Monday,1,723.55603,21.334044999999946,14.325329116083152,95.8716029182312,4.128397081768798,32.9221525408716,32.9221525408716,46.18511971715951,46.18511971715951,6.396218188295791,6.396218188295791,720.8932540335138,721.7586477182638,-0.8653936847499608,-0.2070647471062748,-1.316657875287372
2013-01-08,705.3330080000001,705.6669919999999,692.7559809999999,696.400024,623.153503,5971054,1566.1,5988.399902,1457.150024,13328.849609,3091.810059,-0.5109860000000026,12.91101100000003,,,,,,,0,0,0,0,0,0,0,0,-0.013379524401889276,-0.004612584535298003,-0.0032423718278149494,-0.004142201778237986,-0.002258931611400228,0.0,2.900656735828229,2013-01-08,705.354061315379,Tuesday,3,705.8439940000001,13.08801300000016,14.039900361584326,92.00868411576043,7.991315884239569,24.61187365532759,24.61187365532759,38.994037696548865,38.994037696548865,-4.152454427114961,-4.152454427114961,714.940110551326,716.6795176406226,-1.7394070892966056,-0.6224147184259715,-2.233984741741268
2013-01-09,693.778015,703.46698,686.888977,688.7559809999999,616.313416,5481434,1566.71,6001.700195,1461.02002,13390.509766,3105.810059,-2.622009000000048,16.57800300000008,,,,,,,0,0,0,0,0,0,0,0,-0.010976568320759439,0.0022210094879533404,0.002655866545145713,0.00462606742583116,0.004528091872670892,0.0,-4.942152827484922,2013-01-09,703.1902331904023,Wednesday,4,696.400024,16.57800300000008,14.544965251010199,96.37242793888238,3.6275720611176223,17.6171064572576,17.6171064572576,31.86839395011844,31.86839395011844,-10.88546852846408,-10.88546852846408,709.0972136532264,711.7134614008646,-2.6162477476382264,-1.1270006674945237,-2.9784941602874055
2013-01-10,692.44397,693.955994,680.111023,687.3779910000001,615.080322,4787451,1544.57,5971.5,1472.119995,13471.219727000002,3121.76001,3.6879890000001296,13.844970999999987,,,,,,,0,0,0,0,0,0,0,0,-0.0020007580039438366,-0.005031939953475173,0.007597414715782014,0.006027400181950693,0.005135520426878815,0.0,0.3976116611968049,2013-01-10,701.6150196870072,Thursday,2,688.7559809999999,13.844970999999987,14.421429952317283,87.52344643518292,12.476553564817083,15.903588826444093,15.903588826444093,26.54679224222699,26.54679224222699,-5.382818005121699,-5.382818005121699,704.5647466461821,707.7924141270721,-3.227667480889977,-1.6318304058016326,-3.1916741501766888
2013-01-11,687.55603,688.599976,677.778015,680.867004,609.254272,3456486,1535.26,5968.649902,1472.050049,13488.429688,3125.6298829999996,0.1780389999998988,10.821960999999988,,,,,,,0,0,0,0,0,0,0,0,-0.00947201494116412,-0.00047728342962405357,-4.7513789798170336e-05,0.0012775354681140438,0.001239644619574598,0.0,19.845681524340858,2013-01-11,700.4835538744987,Friday,0,687.3779910000001,10.821960999999988,13.846582829444461,94.90080747627158,5.099192523728409,12.30212339220553,12.30212339220553,21.798569292219835,21.798569292219835,-6.690768407823079,-6.690768407823079,699.8764896776272,703.8014772544069,-3.9249875767796993,-2.161561088708955,-3.5268529761414884
2013-01-14,682.6669919999999,692.44397,680.0,691.021973,618.341003,2511223,1545.89,5951.299805,1470.680054,13507.320313,3117.5,1.7999879999999848,12.443970000000036,,,,,,,0,0,0,0,0,0,0,0,0.014914513393842865,-0.002906871283267387,-0.0009306714815373596,0.0014005058733268516,-0.002601038288063906,1.0,-5.130778744726056,2013-01-14,694.8094099147005,Monday,1,680.867004,12.443970000000036,13.640750690550039,78.13734797431333,21.862652025686664,15.488966270032574,15.488966270032574,19.69536828482408,19.69536828482408,7.076162240449555,7.076162240449555,698.1985622084752,702.0380300462251,-3.8394678377499076,-2.537509602847239,-2.6039164698053376
